,length,ORF,GC,fickett,hexamer,identity,align_length,align_perc_len,align_perc_ORF,lnc_score,prediction
cre01.g000017.t1.1.v5.5,1322,636.0,62.556732223903175,0.8878,0.0516555193573,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000033.t1.1.v5.5,2459,1377.0,67.0191134607564,0.6358,0.0857339773665,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000050.t1.1.v5.5,5955,4815.0,67.33837111670864,0.9533,0.142245750825,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000100.t1.1.v5.5,8417,7230.0,70.19127955328501,1.2156,0.168268583255,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000150.t1.2.v5.5,3850,2571.0,67.40259740259741,1.3082,0.136112401986,41.2,119.0,0.03090909090909091,0.046285492026448855,0.0344370341195986,0
cre01.g000200.t1.1.v5.5,2958,2352.0,69.43881000676133,1.0466,0.15106521618,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000250.t1.2.v5.5,1761,1011.0,63.94094264622374,1.1214,0.154635982209,38.0,179.0,0.10164679159568427,0.17705242334322452,0.0344370341195986,0
cre01.g000300.t1.1.v5.5,2664,1701.0,65.01501501501501,1.179,0.101762153674,38.0,387.0,0.14527027027027026,0.2275132275132275,0.0344370341195986,0
cre01.g000350.t1.1.v5.5,1468,1260.0,69.00544959128065,1.2288,0.116476590416,35.2,244.0,0.16621253405994552,0.19365079365079366,0.0344370341195986,0
cre01.g000400.t1.2.v5.5,2288,1950.0,62.28146853146853,1.3047,0.110160417569,25.1,542.0,0.2368881118881119,0.27794871794871795,0.0344370341195986,0
cre01.g000450.t1.2.v5.5,3203,1914.0,60.41211364345926,1.2871,0.118145033906,24.3,535.0,0.16703090852325944,0.27951933124346917,0.0344370341195986,0
cre01.g000500.t1.1.v5.5,3345,1968.0,61.973094170403584,1.2194,0.110554188624,26.8,306.0,0.09147982062780269,0.15548780487804878,0.0344370341195986,0
cre01.g000550.t1.2.v5.5,4021,3009.0,69.70902760507336,1.1196,0.128145121082,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000600.t1.2.v5.5,2496,1476.0,63.982371794871796,1.1866,0.142257541039,55.1,472.0,0.1891025641025641,0.31978319783197834,0.0344370341195986,0
cre01.g000650.t1.1.v5.5,3789,2298.0,65.74294008973344,1.3082,0.10557806743,36.5,594.0,0.15676959619952494,0.2584856396866841,0.0344370341195986,0
cre01.g000700.t1.1.v5.5,3718,3084.0,71.73211403980635,1.1792,0.160000845638,46.7,45.0,0.012103281334050565,0.014591439688715954,0.0344370341195986,0
cre01.g000750.t1.1.v5.5,4110,3444.0,71.28953771289538,1.1196,0.128296439315,0.0,0.0,0.0,0.0,0.0344370341195986,0
cre01.g000800.t1.2.v5.5,1243,756.0,63.07320997586484,0.7957,0.0912087938958,0.0,0.0,0.0,0.0,0.0344370341195986,0
