,length,ORF,GC,fickett,hexamer,identity,align_length,align_perc_len,align_perc_ORF,lnc_score,prediction
100003.v1.91,186,159.0,53.763440860215056,0.8325,0.0381025165846,45.8,59.0,0.3172043010752688,0.3710691823899371,0.0344370341195986,0
10002.v1.91,2190,2118.0,54.24657534246575,1.0247,0.133724811385,30.2,693.0,0.31643835616438354,0.3271954674220963,0.0344370341195986,0
100026.v1.91,726,726.0,52.47933884297521,1.1338,0.134653984221,41.0,222.0,0.30578512396694213,0.30578512396694213,0.0344370341195986,0
100028.v1.91,1662,1662.0,61.01083032490975,1.2744,0.14256184116,32.7,560.0,0.3369434416365824,0.3369434416365824,0.0344370341195986,0
100032.v1.91,954,954.0,56.60377358490566,1.1735,0.110121047376,32.6,319.0,0.33438155136268344,0.33438155136268344,0.0344370341195986,0
100054.v1.91,1026,1026.0,50.0,1.0667,0.102608307679,63.4,331.0,0.3226120857699805,0.3226120857699805,0.0344370341195986,0
100071.v1.91,1026,1026.0,60.8187134502924,1.2737,0.100338268734,39.9,253.0,0.246588693957115,0.246588693957115,0.0344370341195986,0
100087.v1.91,2730,2730.0,46.92307692307692,0.9419,0.0900253624411,23.9,635.0,0.2326007326007326,0.2326007326007326,0.0344370341195986,0
100105.v1.91,1542,1542.0,51.10246433203632,1.117,0.119828095025,46.9,524.0,0.3398184176394293,0.3398184176394293,0.0344370341195986,0
100125.v1.91,1566,1566.0,48.97828863346105,0.9972,0.0646006956928,28.9,519.0,0.3314176245210728,0.3314176245210728,0.0344370341195986,0
100130.v1.91,1248,1248.0,55.04807692307692,0.7997,0.113296066865,39.3,321.0,0.25721153846153844,0.25721153846153844,0.0344370341195986,0
100146.v1.91,783,615.0,54.15070242656449,0.9993,0.0764203868833,55.4,258.0,0.32950191570881227,0.4195121951219512,0.0344370341195986,0
100159.v1.91,915,915.0,50.60109289617486,0.991,0.082688401526,88.9,305.0,0.3333333333333333,0.3333333333333333,0.0344370341195986,0
100162.v1.91,1356,1356.0,58.92330383480826,1.2895,0.0997520204324,91.0,432.0,0.3185840707964602,0.3185840707964602,0.0344370341195986,0
100166.v1.91,1155,1155.0,52.98701298701299,1.0924,0.111985505781,31.4,373.0,0.3229437229437229,0.3229437229437229,0.0344370341195986,0
100168.v1.91,1518,1518.0,52.17391304347826,1.0946,0.102268963762,37.2,145.0,0.09552042160737813,0.09552042160737813,0.0344370341195986,0
100169.v1.91,162,162.0,44.44444444444444,0.7573,0.0621998622511,0.0,0.0,0.0,0.0,0.0344370341195986,0
100180.v1.91,612,600.0,50.0,1.2206,0.0979437782485,56.4,202.0,0.3300653594771242,0.33666666666666667,0.0344370341195986,0
100200.v1.91,906,906.0,53.090507726269315,1.0725,0.121536147675,63.8,257.0,0.2836644591611479,0.2836644591611479,0.0344370341195986,0
100216.v1.91,2106,2106.0,64.29249762583096,1.2428,0.14197162044,34.2,663.0,0.3148148148148148,0.3148148148148148,0.0344370341195986,0
100233.v1.91,636,636.0,56.918238993710695,1.1739,0.151419978181,60.0,130.0,0.20440251572327045,0.20440251572327045,0.0344370341195986,0
100257.v1.91,1089,1089.0,51.69880624426079,0.9575,0.106721388629,41.7,338.0,0.310376492194674,0.310376492194674,0.0344370341195986,0
100267.v1.91,1611,1611.0,47.73432650527623,0.9121,0.056908770035,25.6,445.0,0.27622594661700806,0.27622594661700806,0.0344370341195986,0
100270.v1.91,2874,2874.0,48.086290883785665,0.9684,0.0923028088845,44.4,953.0,0.33159359777313846,0.33159359777313846,0.0344370341195986,0
100288.v1.91,378,378.0,54.232804232804234,1.199,0.14690944994,84.1,107.0,0.2830687830687831,0.2830687830687831,0.0344370341195986,0
100293.v1.91,1023,1023.0,56.69599217986315,1.0484,0.138883982401,38.2,356.0,0.3479960899315738,0.3479960899315738,0.0344370341195986,0
100308.v1.91,1215,1215.0,53.415637860082306,1.0299,0.105459020498,31.5,409.0,0.3366255144032922,0.3366255144032922,0.0344370341195986,0
100311.v1.91,369,360.0,55.826558265582655,0.8218,0.0777462290712,66.0,94.0,0.25474254742547425,0.2611111111111111,0.0344370341195986,0
100312.v1.91,1719,1719.0,58.98778359511344,1.0953,0.126316705261,46.0,544.0,0.3164630599185573,0.3164630599185573,0.0344370341195986,0
10032.v1.91,3435,3435.0,48.23871906841339,1.0961,0.116852211248,56.2,1184.0,0.34468704512372633,0.34468704512372633,0.0344370341195986,0
100345.v1.91,1650,1650.0,50.06060606060606,0.7616,0.0880182837545,0.0,0.0,0.0,0.0,0.0344370341195986,0
100348.v1.91,879,732.0,50.28441410693971,0.9438,0.115259852382,82.0,295.0,0.33560864618885095,0.4030054644808743,0.0344370341195986,0
100350.v1.91,1482,1482.0,53.77867746288799,1.0692,0.0740210109682,30.8,477.0,0.32186234817813764,0.32186234817813764,0.0344370341195986,0
100351.v1.91,1041,1041.0,53.79442843419789,1.315,0.105184527027,46.2,320.0,0.30739673390970224,0.30739673390970224,0.0344370341195986,0
100366.v1.91,1884,1863.0,51.2208067940552,0.9368,0.0935782237552,0.0,0.0,0.0,0.0,0.0344370341195986,0
100367.v1.91,1629,1263.0,50.39901780233272,1.2228,0.121506110284,50.8,520.0,0.3192142418661756,0.4117181314330958,0.0344370341195986,0
100378.v1.91,1806,1326.0,49.1140642303433,1.0628,0.0786717192625,68.0,575.0,0.3183831672203765,0.4336349924585219,0.0344370341195986,0
100388.v1.91,972,972.0,48.251028806584365,0.9546,0.0852790291979,33.2,322.0,0.33127572016460904,0.33127572016460904,0.0344370341195986,0
100394.v1.91,1686,1686.0,59.905100830367736,1.2886,0.140731950109,33.9,460.0,0.27283511269276395,0.27283511269276395,0.0344370341195986,0
100397.v1.91,3180,3180.0,53.742138364779876,0.9281,0.118399403849,41.4,273.0,0.08584905660377358,0.08584905660377358,0.0344370341195986,0
100429.v1.91,462,462.0,59.74025974025974,1.0751,0.0854570340835,51.5,136.0,0.2943722943722944,0.2943722943722944,0.0344370341195986,0
100448.v1.91,528,528.0,64.77272727272727,1.2622,0.114350251624,40.4,146.0,0.2765151515151515,0.2765151515151515,0.0344370341195986,0
100454.v1.91,1053,1053.0,50.807217473884144,0.9528,0.0967615114877,58.0,343.0,0.32573599240265905,0.32573599240265905,0.0344370341195986,0
100459.v1.91,180,180.0,36.111111111111114,0.8643,0.0241162582202,0.0,0.0,0.0,0.0,0.0344370341195986,0
100460.v1.91,414,414.0,48.067632850241544,1.0627,0.0992303032691,84.9,119.0,0.28743961352657005,0.28743961352657005,0.0344370341195986,0
100467.v1.91,531,531.0,50.47080979284369,1.1005,0.118695306012,45.1,142.0,0.2674199623352166,0.2674199623352166,0.0344370341195986,0
100475.v1.91,1215,1215.0,55.88477366255144,1.1029,0.12150566309,50.4,347.0,0.28559670781893004,0.28559670781893004,0.0344370341195986,0
100482.v1.91,1605,1605.0,49.47040498442367,1.1156,0.118434024723,28.0,496.0,0.3090342679127726,0.3090342679127726,0.0344370341195986,0
100501.v1.91,603,222.0,51.575456053067995,0.5158,0.13169424374,47.1,189.0,0.31343283582089554,0.8513513513513513,0.0344370341195986,0
100511.v1.91,1398,1398.0,62.44635193133047,1.1339,0.13429525531,34.3,464.0,0.3319027181688126,0.3319027181688126,0.0344370341195986,0
100512.v1.91,582,582.0,57.21649484536083,1.1794,0.118573672351,59.2,120.0,0.20618556701030927,0.20618556701030927,0.0344370341195986,0
100519.v1.91,1242,1242.0,52.65700483091788,0.7583,0.131606758907,32.9,350.0,0.28180354267310787,0.28180354267310787,0.0344370341195986,0
100523.v1.91,357,357.0,56.86274509803921,1.1694,0.147380394195,76.2,101.0,0.28291316526610644,0.28291316526610644,0.0344370341195986,0
100569.v1.91,570,570.0,59.29824561403509,1.2377,0.101195611463,0.0,0.0,0.0,0.0,0.0344370341195986,0
